Date,Time,Sender,Receiver,Amount,Payment Type,Sender Bank Location,Receiver Bank Location,Payment Currency,Receiver Currency,Is Suspicious,Type
2023-05-14,00:00:00,ACC01011692,ACC01011697,5147.1,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-05-08,00:00:00,ACC01011764,ACC01011766,2975.8,Cheque,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-08-12,19:53:00,ACC01008645,ACC01008646,4576.23,Cheque,Germany,Japan,EUR,JPY,0,Single Transaction
2023-01-31,13:00:00,ACC01011095,ACC01011096,2989.5044775648917,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-06-30,07:00:00,ACC01010809,ACC01010810,8632.104764574602,Debit Card,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-09-28,22:00:00,ACC01010913,ACC01010914,3823.4626644472937,Debit Card,France,France,EUR,EUR,0,Periodical
2023-03-04,18:35:00,ACC01003605,ACC01003606,2147.48,Cash,France,Italy,EUR,EUR,0,Single Transaction
2023-06-30,22:00:00,ACC01011383,ACC01011384,9111.6974895288,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-10-06,00:00:00,ACC01014374,ACC01014382,8361.91,Cross-border,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-09-04,00:00:00,ACC01015544,ACC01015545,3947.96,ACH,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-01-13,00:00:00,ACC01012277,ACC01012284,5698.19,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-11-07,00:00:00,ACC01012025,ACC01012030,6291.73,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-09-28,04:00:00,ACC01011453,ACC01011454,5685.22440375333,ACH,France,France,EUR,EUR,0,Periodical
2023-10-02,00:00:00,ACC01014032,ACC01014035,8973.51,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-12-12,00:00:00,ACC01011962,ACC01011965,690.26,Debit Card,United States,United States,USD,USD,0,Normal Group
2023-11-16,00:00:00,ACC01014608,ACC01014611,481.47,Cheque,Spain,Spain,EUR,EUR,0,Normal Group
2023-03-31,00:00:00,ACC01015553,ACC01015555,9507.44,Cheque,France,France,EUR,EUR,0,Normal Group
2023-09-15,16:27:00,ACC01000195,ACC01000196,4720.02,Credit Card,Spain,France,EUR,EUR,0,Single Transaction
2023-05-25,00:00:00,ACC01015058,ACC01015059,976.35,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-04-01,08:00:00,ACC01010989,ACC01010990,5755.855861498621,ACH,United States,United States,USD,USD,0,Periodical
2023-04-01,12:00:00,ACC01010929,ACC01010930,4148.973265627336,ACH,Italy,Italy,EUR,EUR,0,Periodical
2023-01-31,09:00:00,ACC01010033,ACC01010034,10147.156976009826,Debit Card,United States,United States,USD,USD,0,Periodical
2023-03-04,00:00:00,ACC01014644,ACC01014650,4759.68,Debit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-05-01,13:00:00,ACC01010927,ACC01010928,3617.0888579595176,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-07-30,15:00:00,ACC01010285,ACC01010286,6546.32192042398,ACH,Australia,Australia,AUD,AUD,0,Periodical
2023-02-15,14:24:00,ACC01000805,ACC01000806,4837.88,Cash,United States,Spain,USD,EUR,0,Single Transaction
2023-05-31,08:00:00,ACC01010443,ACC01010444,3071.4910243645654,ACH,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-11-01,15:46:00,ACC01003131,ACC01003132,137.59,Cash,Japan,United States,JPY,USD,0,Single Transaction
2023-07-07,00:00:00,ACC01012925,ACC01012927,1832.57,Cash,France,France,EUR,EUR,0,Normal Group
2023-03-02,01:00:00,ACC01010079,ACC01010080,6066.191321251802,Debit Card,Spain,Spain,EUR,EUR,0,Periodical
2023-03-12,00:00:00,ACC01015706,ACC01015707,6066.74,Cheque,Canada,Canada,CAD,CAD,0,Normal Group
2023-01-31,02:00:00,ACC01010329,ACC01010330,8587.322361997816,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-07-14,00:00:00,ACC01015400,ACC01015407,1000.91,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-10-07,00:00:00,ACC01015202,ACC01015205,771.24,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-06-20,00:00:00,ACC01015382,ACC01015384,3877.53,ACH,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-11-18,00:00:00,ACC01015472,ACC01015474,4028.53,Credit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-09-26,00:00:00,ACC01012322,ACC01012323,6791.52,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-05-15,00:00:00,ACC01013951,ACC01013954,2786.73,Credit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-07,00:00:00,ACC01013996,ACC01014003,9294.7,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-04-20,00:00:00,ACC01015148,ACC01015149,1977.82,Cheque,Canada,Canada,CAD,CAD,0,Normal Group
2023-11-21,00:00:00,ACC01012682,ACC01012685,5480.11,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-11,00:00:00,ACC01012637,ACC01012640,1530.68,Cheque,Canada,Canada,CAD,CAD,0,Normal Group
2023-10-14,00:00:00,ACC01012178,ACC01012179,8636.67,Cash,United States,United States,USD,USD,0,Normal Group
2023-03-02,16:00:00,ACC01011303,ACC01011304,3526.722441553132,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-04-20,00:00:00,ACC01015715,ACC01015717,4274.96,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-04-16,00:00:00,ACC01014338,ACC01014346,7975.45,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-27,00:00:00,ACC01014977,ACC01014985,4765.16,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-07-30,07:00:00,ACC01010417,ACC01010418,4994.005595615722,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-08-29,14:00:00,ACC01010973,ACC01010974,7368.674482819345,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-04-04,12:12:00,ACC01002999,ACC01003000,3645.99,Cross-border,Spain,France,EUR,EUR,0,Single Transaction
2023-03-04,00:00:00,ACC01013393,ACC01013394,3704.3,Debit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-08-26,09:23:00,ACC01006645,ACC01006646,23.13,Credit Card,Canada,Italy,CAD,EUR,0,Single Transaction
2023-03-12,00:00:00,ACC01012205,ACC01012207,1633.14,Cross-border,United States,United States,USD,USD,0,Normal Group
2023-10-18,00:00:00,ACC01012619,ACC01012620,3057.01,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-07-28,00:00:00,ACC01014185,ACC01014186,1867.15,ACH,Canada,Canada,CAD,CAD,0,Normal Group
2023-01-01,23:00:00,ACC01010465,ACC01010466,1685.512751768122,Debit Card,France,France,EUR,EUR,0,Periodical
2023-06-30,23:00:00,ACC01010417,ACC01010418,5273.2678832186,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-11-24,00:00:00,ACC01015724,ACC01015727,8081.94,Cross-border,Japan,Japan,JPY,JPY,0,Normal Group
2023-08-04,00:00:00,ACC01015400,ACC01015403,2918.93,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-11-02,20:16:00,ACC01006147,ACC01006148,4713.62,Cheque,Italy,Australia,EUR,AUD,0,Single Transaction
2023-11-14,00:00:00,ACC01012682,ACC01012683,3361.69,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-05,20:07:00,ACC01000289,ACC01000290,1978.66,Cheque,Spain,Italy,EUR,EUR,0,Single Transaction
2023-12-07,00:00:00,ACC01014716,ACC01014723,2721.21,Cross-border,Germany,Germany,EUR,EUR,0,Normal Group
2023-01-31,15:00:00,ACC01011369,ACC01011370,1613.8023611490867,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-11-28,18:24:00,ACC01007307,ACC01007308,3440.64,Cheque,Netherlands,Italy,EUR,EUR,0,Single Transaction
2023-01-29,00:00:00,ACC01011773,ACC01011775,4647.0,Cheque,Spain,Spain,EUR,EUR,0,Normal Group
2023-01-01,06:00:00,ACC01009757,ACC01009758,5573.99386405657,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-04-12,00:00:00,ACC01012412,ACC01012415,9491.47,Debit Card,Germany,Germany,EUR,EUR,0,Normal Group
2023-01-01,06:00:00,ACC01010025,ACC01010026,840.6511754240582,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-05-29,00:00:00,ACC01013231,ACC01013232,1637.14,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-12-10,00:00:00,ACC01014932,ACC01014935,3365.0,Debit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-03-02,06:00:00,ACC01010039,ACC01010040,8601.044114092925,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-05-31,17:00:00,ACC01010485,ACC01010486,1808.7012817265575,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-12-09,00:00:00,ACC01014023,ACC01014025,400.69,Cheque,Japan,Japan,JPY,JPY,0,Normal Group
2023-01-01,15:00:00,ACC01010763,ACC01010764,2915.4562523542145,ACH,France,France,EUR,EUR,0,Periodical
2024-01-07,00:00:00,ACC01014932,ACC01014933,185.16,Debit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-04-09,22:16:00,ACC01003649,ACC01003650,3863.04,Cross-border,Spain,Spain,EUR,EUR,0,Single Transaction
2023-05-31,06:00:00,ACC01010653,ACC01010654,2681.833817596077,Debit Card,Canada,Canada,CAD,CAD,0,Periodical
2023-06-30,01:00:00,ACC01011445,ACC01011446,8667.475894525587,ACH,Canada,Canada,CAD,CAD,0,Periodical
2023-05-09,21:24:00,ACC01002535,ACC01002536,3458.37,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Single Transaction
2023-05-31,21:00:00,ACC01011249,ACC01011250,4450.873177618125,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-07-30,12:17:00,ACC01006821,ACC01006822,3960.66,ACH,Japan,France,JPY,EUR,0,Single Transaction
2023-01-01,05:00:00,ACC01011279,ACC01011280,8448.73366998082,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-07-05,13:28:00,ACC01004117,ACC01004118,2377.98,Credit Card,France,Germany,EUR,EUR,0,Single Transaction
2023-04-17,00:00:00,ACC01015481,ACC01015484,4744.87,ACH,France,France,EUR,EUR,0,Normal Group
2023-11-06,00:00:00,ACC01011746,ACC01011749,3566.17,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-27,00:00:00,ACC01014779,ACC01014781,9704.39,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-07-02,00:00:00,ACC01011800,ACC01011803,4880.44,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-07-30,20:00:00,ACC01009727,ACC01009728,8523.578635487756,ACH,France,France,EUR,EUR,0,Periodical
2023-07-30,00:00:00,ACC01010105,ACC01010106,4047.406184413082,ACH,Australia,Australia,AUD,AUD,0,Periodical
2023-05-01,14:00:00,ACC01009759,ACC01009760,3960.010135924974,ACH,France,France,EUR,EUR,0,Periodical
2023-05-21,00:00:00,ACC01014689,ACC01014690,1057.31,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-05,00:00:00,ACC01014554,ACC01014556,8037.22,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-04-01,22:00:00,ACC01011247,ACC01011248,3241.4704777649026,Debit Card,Japan,Japan,JPY,JPY,0,Periodical
2023-09-02,00:00:00,ACC01013195,ACC01013197,7617.54,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-30,00:00:00,ACC01013096,ACC01013098,4223.46,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-03-28,17:30:00,ACC01005127,ACC01005128,573.16,ACH,Italy,United States,EUR,USD,0,Single Transaction
2023-12-25,05:34:00,ACC01007149,ACC01007150,3217.33,Debit Card,Italy,Spain,EUR,EUR,0,Single Transaction
2023-06-24,00:32:00,ACC01002183,ACC01002184,2788.82,ACH,Canada,Germany,CAD,EUR,0,Single Transaction
2023-08-25,00:00:00,ACC01015211,ACC01015213,7704.98,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-27,00:00:00,ACC01014140,ACC01014145,4684.4,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-01-17,20:13:00,ACC01007317,ACC01007318,3576.91,Cross-border,United Kingdom,Germany,GBP,EUR,0,Single Transaction
2023-07-29,00:46:00,ACC01000493,ACC01000494,2935.29,Cash,United States,Germany,USD,EUR,0,Single Transaction
2023-09-12,00:00:00,ACC01015841,ACC01015844,4517.83,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,15:00:00,ACC01009737,ACC01009738,3502.7541662055264,Debit Card,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-01-06,18:55:00,ACC01002497,ACC01002498,2990.49,Debit Card,Canada,Canada,CAD,CAD,0,Single Transaction
2023-03-28,00:00:00,ACC01012772,ACC01012776,6874.11,Cash,Italy,Italy,EUR,EUR,0,Normal Group
2023-11-21,00:00:00,ACC01012025,ACC01012028,9411.38,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-12-10,10:23:00,ACC01008745,ACC01008746,1643.03,Cross-border,Germany,Australia,EUR,AUD,0,Single Transaction
2023-01-04,21:24:00,ACC01000659,ACC01000660,4021.85,Cheque,United Kingdom,Japan,GBP,JPY,0,Single Transaction
2023-11-01,00:00:00,ACC01013780,ACC01013781,7128.27,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-10-10,06:43:00,ACC01007021,ACC01007022,4158.77,ACH,United Kingdom,Japan,GBP,JPY,0,Single Transaction
2023-10-20,14:26:00,ACC01004961,ACC01004962,4031.4,Cheque,Japan,Spain,JPY,EUR,0,Single Transaction
2023-02-20,00:00:00,ACC01015571,ACC01015574,988.22,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-12-13,00:00:00,ACC01013537,ACC01013539,4599.05,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-05-31,22:00:00,ACC01011223,ACC01011224,5906.73492196403,ACH,France,France,EUR,EUR,0,Periodical
2023-12-03,11:55:00,ACC01000785,ACC01000786,1373.57,ACH,Australia,Australia,AUD,AUD,0,Single Transaction
2023-02-14,00:00:00,ACC01012502,ACC01012504,3516.13,Debit Card,France,France,EUR,EUR,0,Normal Group
2023-08-29,12:00:00,ACC01011521,ACC01011522,1449.000367624368,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-05-01,00:00:00,ACC01012997,ACC01013000,3075.92,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-03-25,00:00:00,ACC01011575,ACC01011576,4695.69,Cross-border,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-30,22:00:00,ACC01009749,ACC01009750,6272.43620430282,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-03-02,10:00:00,ACC01009881,ACC01009882,2873.2950562693504,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-01-01,04:00:00,ACC01011053,ACC01011054,4849.246971118029,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-07-22,00:00:00,ACC01015697,ACC01015700,1980.08,Credit Card,United States,United States,USD,USD,0,Normal Group
2024-02-06,00:00:00,ACC01013987,ACC01013988,656.11,Credit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-05-01,06:00:00,ACC01009911,ACC01009912,5416.000664353132,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-05-26,17:29:00,ACC01006535,ACC01006536,587.22,Debit Card,Germany,United Kingdom,EUR,GBP,0,Single Transaction
2023-11-15,00:00:00,ACC01012061,ACC01012063,6888.62,Cheque,Italy,Italy,EUR,EUR,0,Normal Group
2023-02-23,00:00:00,ACC01011836,ACC01011838,5120.89,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-01-31,17:00:00,ACC01010089,ACC01010090,7969.412781675487,ACH,Japan,Japan,JPY,JPY,0,Periodical
2023-03-02,17:00:00,ACC01009989,ACC01009990,3551.1370493354652,ACH,Australia,Australia,AUD,AUD,0,Periodical
2023-11-11,22:28:00,ACC01000649,ACC01000650,4622.74,ACH,Netherlands,Canada,EUR,CAD,0,Single Transaction
2023-01-05,00:00:00,ACC01014626,ACC01014628,3627.63,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-02-24,00:00:00,ACC01015553,ACC01015554,7512.88,Cheque,France,France,EUR,EUR,0,Normal Group
2023-08-16,15:16:00,ACC01004139,ACC01004140,4827.93,Debit Card,Japan,Netherlands,JPY,EUR,0,Single Transaction
2023-01-06,23:17:00,ACC01003139,ACC01003140,1375.76,ACH,Australia,United States,AUD,USD,0,Single Transaction
2023-10-06,00:00:00,ACC01014374,ACC01014379,7463.03,Cross-border,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-05-31,07:00:00,ACC01009989,ACC01009990,3565.594238436649,ACH,Australia,Australia,AUD,AUD,0,Periodical
2023-01-31,05:00:00,ACC01011451,ACC01011452,2124.5726567111014,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-05-31,22:00:00,ACC01011559,ACC01011560,5324.249198369279,ACH,Australia,Australia,AUD,AUD,0,Periodical
2024-01-18,00:00:00,ACC01013285,ACC01013288,7691.9,Cross-border,Japan,Japan,JPY,JPY,0,Normal Group
2023-08-11,00:00:00,ACC01015211,ACC01015213,4580.99,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-09-02,00:00:00,ACC01015391,ACC01015397,5874.19,Cheque,Italy,Italy,EUR,EUR,0,Normal Group
2023-11-03,19:48:00,ACC01008389,ACC01008390,2910.88,Cheque,Japan,Spain,JPY,EUR,0,Single Transaction
2023-01-31,07:00:00,ACC01010983,ACC01010984,8217.051181801837,Debit Card,Australia,Australia,AUD,AUD,0,Periodical
2023-01-31,02:52:00,ACC01008741,ACC01008742,4536.52,Cross-border,Netherlands,Germany,EUR,EUR,0,Single Transaction
2023-06-03,00:00:00,ACC01014095,ACC01014100,3388.23,Credit Card,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-08-30,00:00:00,ACC01015679,ACC01015681,1156.17,Cross-border,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-08,05:45:00,ACC01001353,ACC01001354,2748.7,Credit Card,Australia,Spain,AUD,EUR,0,Single Transaction
2023-06-12,00:00:00,ACC01015256,ACC01015258,9187.63,ACH,United States,United States,USD,USD,0,Normal Group
2023-05-20,00:00:00,ACC01012745,ACC01012747,3977.05,Cash,France,France,EUR,EUR,0,Normal Group
2023-11-14,00:00:00,ACC01012322,ACC01012323,5159.94,ACH,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-21,00:38:00,ACC01007573,ACC01007574,3537.03,Cross-border,Japan,United Kingdom,JPY,GBP,0,Single Transaction
2023-11-21,00:00:00,ACC01013519,ACC01013523,5719.17,Debit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-05-14,00:00:00,ACC01013915,ACC01013916,5842.75,Cheque,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-03-06,00:00:00,ACC01014869,ACC01014874,1826.06,Cheque,Japan,Japan,JPY,JPY,0,Normal Group
2023-07-09,00:00:00,ACC01011800,ACC01011803,9733.24,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-11-01,00:00:00,ACC01012565,ACC01012568,5304.55,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-06-02,00:00:00,ACC01014959,ACC01014962,3946.37,Debit Card,United States,United States,USD,USD,0,Normal Group
2023-01-01,13:00:00,ACC01011411,ACC01011412,8441.908633139868,ACH,Germany,Germany,EUR,EUR,0,Periodical
