ItemID,ItemName,Price
807,Intelligent Wooden Pizza,111834
808,Frozen Bike,94555
809,Sausages,83698
810,Hat,134450
811,Small Pizza,146487
812,Unbranded Concrete Shoes,177231
813,Hat,53925
814,Granite Hat,147023
815,Granite Bike,97388
816,Pants,18007
817,New Pants,182904
818,Fish,68596
819,Used Soap,131101
820,Plastic Chips,171595
821,Granite Hat,98861
822,Intelligent Keyboard,96740
823,Refined Wooden Hat,25524
824,Cheese,160354
825,Wooden Towels,165002
826,Metal Computer,141149
827,Gorgeous Steel Chair,135501
828,Mouse,30611
829,Fantastic Soft Bacon,158056
830,Metal Pizza,24060
831,Chips,53303
832,Handmade Rubber Fish,170359
833,Handmade Plastic Fish,49711
834,Frozen Chicken,153026
835,Sleek Granite Chips,83340
836,Gorgeous Car,112974
837,New Steel Keyboard,159646
838,New Shirt,150256
839,Licensed Wooden Shoes,160168
840,New Bike,77728
841,Awesome Concrete Table,175088
842,Awesome Chips,21246
843,Small Concrete Hat,186630
844,Tuna,159453
845,Unbranded Chair,137796
846,Unbranded Soft Tuna,177527
847,Fresh Chair,102263
848,Generic Cotton Cheese,145090
849,Metal Mouse,21302
850,Concrete Table,77506
851,Rubber Bike,51157
852,Awesome Mouse,64917
853,Tasty Cotton Keyboard,106646
854,Practical Tuna,93122
855,Fresh Sausages,34519
856,Fish,197891
857,Wooden Ball,90910
858,Tasty Ball,130430
859,Chair,81324
860,New Fresh Mouse,15408
861,Unbranded Keyboard,69379
862,Sausages,35053
863,Towels,150518
864,Salad,141994
865,Bacon,108723
866,Fish,61356
867,Concrete Ball,20789
868,Plastic Pizza,107720
869,Ball,76656
870,Soft Soap,54028
871,Awesome Wooden Bacon,74484
872,New Plastic Table,42154
873,New Salad,12336
874,Steel Pants,113677
875,Ergonomic Chicken,77779
876,For repair Steel Table,29029
877,Gently Used Granite Salad,69201
878,Plastic Cheese,42265
879,Sleek Shirt,112916
880,Rustic Wooden Soap,184944
881,Metal Pizza,56197
882,Metal Towels,135733
883,Handmade Steel Towels,196252
884,Cotton Computer,164782
885,Fantastic Frozen Chips,170558
886,Pizza,81907
887,Chair,138876
888,Sleek Salad,74435
889,Small Concrete Fish,50631
890,Metal Ball,139038
891,Incredible Computer,30103
892,Practical Cotton Chips,74772
893,Gently Used Soap,136108
894,Handcrafted Salad,24382
895,Wooden Shoes,94291
896,Licensed Chips,111195
897,Tasty Table,144828
898,Intelligent Wooden Cheese,30609
899,Gently Used Frozen Fish,157550
900,Tuna,180738
901,Rustic Cotton Towels,85683
902,Steel Ball,134714
903,Fantastic Tuna,140330
904,Soft Ball,81315
905,Cotton Shirt,87834
906,Generic Rubber Car,136205
907,Chips,24153
908,Used Concrete Chair,86325
909,Ball,154071
910,Pizza,65318
911,Sleek Rubber Chicken,141886
912,Mouse,125033
913,Keyboard,86077
914,For repair Shirt,100474
915,Chips,143515
916,Bacon,83319
917,Keyboard,135885
918,Bacon,119777
919,Intelligent Rubber Pizza,27368
920,Refined Steel Soap,156400
921,Fish,198014
922,Practical Chips,101751
923,Gorgeous Wooden Fish,37306
924,Used Cotton Salad,180987
925,Fantastic Pants,47219
926,Incredible Car,70279
927,Small Cheese,63028
928,Ergonomic Soap,114263
929,Soft Sausages,10126
930,Granite Soap,62329
931,Ergonomic Bacon,37632
932,Gently Used Plastic Fish,119945
933,Handcrafted Granite Pizza,65176
934,Chips,185399
935,Keyboard,144869
936,New Pants,188954
937,Licensed Bike,154790
938,Licensed Car,44560
939,Frozen Fish,86589
940,Metal Mouse,32116
941,Licensed Plastic Bike,177316
942,Cotton Shirt,142717
943,Refined Steel Chicken,188595
944,Fantastic Cotton Soap,134085
945,Shoes,127718
946,Sleek Keyboard,29256
947,Incredible Plastic Ball,110158
948,Keyboard,194245
949,Refined Shirt,178502
950,Practical Cheese,180354
951,Used Cotton Bike,129719
952,Practical Cheese,78244
953,Handmade Pants,152766
954,Intelligent Steel Shoes,66264
955,Sleek Granite Chips,67545
956,Handmade Cheese,49224
957,Frozen Keyboard,107945
958,Granite Gloves,23224
959,Tasty Soap,50738
960,Generic Soap,166222
961,Ergonomic Hat,73731
962,Tasty Plastic Chair,190760
963,Cotton Cheese,149649
964,Soft Ball,18070
965,Shirt,136161
966,Chair,18666
967,Car,67761
968,Tasty Rubber Hat,46368
969,Generic Gloves,147855
970,Licensed Computer,51914
971,Awesome Ball,137738
972,Pizza,77526
973,Sausages,186837
974,Intelligent Salad,29956
975,Soft Chips,56240
976,Used Fresh Fish,131008
977,Licensed Soft Ball,178220
978,Ergonomic Fresh Bacon,104270
979,Towels,14757
980,Wooden Keyboard,29097
981,Wooden Keyboard,151467
982,Rustic Rubber Tuna,157313
983,Handmade Chair,113892
984,Fresh Ball,168768
985,New Steel Computer,80480
986,Unbranded Fresh Cheese,56163
987,Rustic Fresh Computer,29816
988,Licensed Frozen Sausages,190912
989,Salad,62853
990,Gorgeous Wooden Shirt,165989
991,Awesome Pizza,106731
992,Incredible Soft Cheese,162638
993,Towels,72823
994,Rubber Chair,161878
995,Fish,11759
996,Bike,183021
997,Used Hat,102374
998,Bacon,143554
999,For repair Cheese,34442
